;destination;origin;product;import;export;label;month;year
190;NL;DE;406;29985000.0;32676448.0;0;11;2014
191;NL;DE;406;30434691.0;31648961.0;0;12;2014
192;NL;DE;406;28355164.0;29298097.0;0;1;2015
193;NL;DE;406;29113397.0;30982310.0;0;2;2015
194;NL;DE;406;36957020.0;38460686.0;0;3;2015
195;NL;DE;406;31441346.0;33729422.0;0;4;2015
196;NL;DE;406;32926014.0;29052082.0;0;5;2015
197;NL;DE;406;36770862.0;31637080.0;0;6;2015
198;NL;DE;406;32585172.0;33146636.0;0;7;2015
199;NL;DE;406;29802374.0;29492844.0;0;8;2015
200;NL;DE;406;30076441.0;31404708.0;0;9;2015
201;NL;DE;406;27848165.0;32011023.0;0;10;2015
202;NL;DE;406;29675554.0;30974052.0;0;11;2015
203;NL;DE;406;30029010.0;28878041.0;0;12;2015
204;NL;DE;406;27313698.0;25474764.0;0;1;2016
205;NL;DE;406;25013221.0;22790820.0;0;2;2016
206;NL;DE;406;32465911.0;31344608.0;0;3;2016
207;NL;DE;406;28550919.0;27575152.0;0;4;2016
208;NL;DE;406;27936075.0;19761102.0;0;5;2016
209;NL;DE;406;30232013.0;42991311.0;0;6;2016
210;NL;DE;406;30038850.0;24364792.0;0;7;2016
211;NL;DE;406;33575392.0;29143299.0;0;8;2016
212;NL;DE;406;31892284.0;34515213.0;0;9;2016
213;NL;DE;406;27050540.0;27798150.0;0;10;2016
214;NL;DE;406;31277775.0;33154068.0;0;11;2016
215;NL;DE;406;35885165.0;30864922.0;0;12;2016
216;NL;DE;406;34288886.0;38407639.0;0;1;2017
217;NL;DE;406;39997041.0;32404164.0;0;2;2017
218;NL;DE;406;49432433.0;43013963.0;0;3;2017
219;NL;DE;406;29142241.0;39998950.0;0;4;2017
220;NL;DE;406;44548954.0;47767416.0;0;5;2017
221;NL;DE;406;49192392.0;46570310.0;0;6;2017
222;NL;DE;406;49147713.0;33082032.0;0;7;2017
223;NL;DE;406;44894353.0;50109722.0;0;8;2017
224;NL;DE;406;42938854.0;42315817.0;0;9;2017
225;NL;DE;406;41459065.0;32622654.0;0;10;2017
226;NL;DE;406;39923660.0;35661112.0;0;11;2017
227;NL;DE;406;34326507.0;35460052.0;0;12;2017
228;NL;DE;406;39956670.0;36062955.0;0;1;2018
229;NL;DE;406;34413497.0;29809253.0;0;2;2018
230;NL;DE;406;37369615.0;31852748.0;0;3;2018
231;NL;DE;406;33983513.0;31741261.0;0;4;2018
232;NL;DE;406;41623503.0;35030896.0;0;5;2018
233;NL;DE;406;40848269.0;31410531.0;0;6;2018
234;NL;DE;406;38819481.0;38395593.0;0;7;2018
235;NL;DE;406;38124525.0;34614578.0;0;8;2018
236;NL;DE;406;37378631.0;31533906.0;0;9;2018
237;NL;DE;406;42131495.0;34805986.0;0;10;2018
238;NL;DE;406;40705278.0;35689551.0;0;11;2018
239;NL;DE;406;34627836.0;30012804.0;0;12;2018
240;NL;DE;406;36097815.0;33989804.0;0;1;2019
241;NL;DE;406;36020549.0;31310012.0;0;2;2019
242;NL;DE;406;36587835.0;36352851.0;0;3;2019
243;NL;DE;406;35084904.0;34954376.0;0;4;2019
244;NL;DE;406;42251963.0;36684080.0;0;5;2019
245;NL;DE;406;41134330.0;38453765.0;0;6;2019
246;NL;DE;406;42988467.0;37211683.0;0;7;2019
247;NL;DE;406;36919360.0;34604216.0;0;8;2019
248;NL;DE;406;38951371.0;39161601.0;0;9;2019
249;NL;DE;406;40728431.0;42219260.0;0;10;2019
250;NL;DE;406;39691973.0;38794424.0;0;11;2019
251;NL;DE;406;35846828.0;30955071.0;0;12;2019
252;NL;DE;406;41069693.0;42362155.0;0;1;2020
253;NL;DE;406;36987241.0;40932624.0;0;2;2020
254;NL;DE;406;40291965.0;42084314.0;0;3;2020
255;NL;DE;406;30034447.0;37166935.0;0;4;2020
256;NL;DE;406;32670516.0;36424435.0;0;5;2020
257;NL;DE;406;41616957.0;44927209.0;0;6;2020
258;NL;DE;406;38521013.0;40347480.0;0;7;2020
259;NL;DE;406;31785982.0;37812182.0;0;8;2020
260;NL;DE;406;35688384.0;37676306.0;0;9;2020
261;NL;DE;406;34404252.0;38077504.0;0;10;2020
262;NL;DE;406;31139981.0;39009378.0;0;11;2020
263;NL;DE;406;36507541.0;39576269.0;0;12;2020
264;NL;DE;407;4850597.0;6713130.0;0;1;2010
265;NL;DE;407;6158591.0;4998733.0;0;2;2010
266;NL;DE;407;5581217.0;10658187.0;0;3;2010
267;NL;DE;407;5476543.0;6835291.0;0;4;2010
268;NL;DE;407;5006511.0;8204967.0;0;5;2010
269;NL;DE;407;7373921.0;6655822.0;0;6;2010
270;NL;DE;407;5046488.0;6711338.0;0;7;2010
271;NL;DE;407;4102850.0;4719930.0;0;8;2010
272;NL;DE;407;5277881.0;6903274.0;0;9;2010
273;NL;DE;407;3442874.0;6301460.0;0;10;2010
274;NL;DE;407;4820201.0;4847006.0;0;11;2010
275;NL;DE;407;3986092.0;6043430.0;0;12;2010
276;NL;DE;407;5055161.0;6932736.0;0;1;2011
277;NL;DE;407;4938712.0;6460219.0;0;2;2011
278;NL;DE;407;5827536.0;5993298.0;0;3;2011
279;NL;DE;407;5626270.0;5733474.0;0;4;2011
280;NL;DE;407;8229572.0;6578480.0;0;5;2011
281;NL;DE;407;6272914.0;11462444.0;0;6;2011
282;NL;DE;407;5623438.0;5869407.0;0;7;2011
283;NL;DE;407;7165228.0;7210857.0;0;8;2011
284;NL;DE;407;5452545.0;6808584.0;0;9;2011
285;NL;DE;407;6112335.0;8219484.0;0;10;2011
